1 4 22 74
2 3 13 84
3 4 21 75
4 2 23 75
5 3 17 80
6 2 17 81
7 3 18 79
8 3 20 77
9 1 16 83
10 1 23 76
11 3 21 76
12 3 23 74
13 2 23 75
14 2 14 84
15 2 20 78
16 2 26 72
17 0 22 78
18 1 20 79
19 3 24 73
20 3 24 73
21 1 24 75
22 3 20 77
23 1 26 73
24 2 23 75
25 3 17 80
26 1 23 76
27 2 19 79
28 1 26 73
29 1 28 71
30 1 15 84
31 2 19 79
32 3 23 74
33 2 20 78
34 0 18 82
35 3 22 75
36 4 18 78
37 4 21 75
38 0 22 78
39 2 19 79
40 5 18 77
41 4 14 82
42 2 18 80
43 1 22 77
44 2 18 80
45 0 23 77
46 1 25 74
47 2 22 76
48 0 16 84
49 0 30 70
50 2 26 72
51 0 16 84
52 0 12 88
53 0 31 69
54 0 18 82
55 1 22 77
56 2 13 85
57 0 31 69
58 0 19 81
59 1 25 74
60 2 15 83
61 3 31 66
62 1 21 78
63 3 24 73
64 2 22 76
65 3 18 79
66 5 20 75
67 1 30 69
68 0 19 81
69 1 21 78
70 1 24 75
71 1 27 72
72 3 23 74
73 2 20 78
74 3 21 76
75 2 13 85
76 2 25 73
77 3 18 79
78 1 15 84
79 4 19 77
80 6 18 76
81 2 23 75
82 0 27 73
83 4 20 76
84 1 19 80
85 2 26 72
86 2 21 77
87 1 17 82
88 1 25 74
89 3 19 78
90 1 22 77
91 2 21 77
92 2 20 78
93 4 17 79
94 1 21 78
95 2 20 78
96 4 17 79
97 0 17 83
98 2 25 73
99 2 19 79
100 2 23 75
101 1 20 79
102 1 14 85
103 0 17 83
104 0 11 89
105 2 19 79
106 5 24 71
107 2 19 79
108 3 25 72
109 0 28 72
110 3 17 80
111 1 28 71
112 1 15 84
113 0 23 77
114 1 23 76
115 1 12 87
116 0 22 78
117 1 19 80
118 1 17 82
119 1 14 85
120 2 24 74
121 3 19 78
122 2 13 85
123 2 20 78
124 0 20 80
125 2 14 84
126 1 18 81
127 3 22 75
128 2 25 73
129 0 16 84
130 3 16 81
131 2 22 76
132 2 15 83
133 1 22 77
134 3 22 75
135 3 20 77
136 1 24 75
137 1 22 77
138 1 19 80
139 1 15 84
140 1 16 83
141 1 17 82
142 0 13 87
143 1 24 75
144 1 14 85
145 2 18 80
146 2 22 76
147 4 18 78
148 2 22 76
149 0 24 76
150 2 24 74
151 2 24 74
152 3 27 70
153 1 18 81
154 1 20 79
155 2 17 81
156 4 24 72
